driver,coefficient,odds_ratio,ci_low,ci_high,p_value
const,-3.374009810009812,0.03425201753046509,0.0265809578856193,0.04413688588483892,5.934122323858957e-150
last_evaluation,1.485076391519808,4.415302691578815,3.2171663143351052,6.059648757167894,3.773706514856814e-20
number_project,-0.2908051491254971,0.747661346292992,0.7176517796342744,0.7789258030204042,5.259508484017793e-44
tenure_years,0.24742237417514518,1.2807199415830877,1.2404757434406948,1.3222697641947119,4.19532094814929e-52
work_accident,-1.5291989469755258,0.21670919335971905,0.18037086296660412,0.26036840825735436,6.067497867119505e-60
promotion_last_5years,-1.276692339280122,0.2789584761390276,0.1658415327092908,0.46923005436893733,1.4959204745069463e-06
high_hours_flag,1.0961061309786047,2.99249094030559,2.6827425280735584,3.3380027841290834,4.621707432104659e-86
low_satisfaction_flag,2.6278676874900553,13.844218206929213,12.506120769450028,15.32548591960374,0.0
salary_low,0.5214187276503324,1.6844156824176113,1.5306889279115983,1.8535811812824763,1.2802854574648497e-26
salary_high,-1.4194036820805513,0.24185819828139313,0.18561866801967108,0.3151374196356294,7.635744975641256e-26
department_IT,-0.13118260229575532,0.8770576070354709,0.7286364554011091,1.0557117206485789,0.16549689308418902
department_RandD,-0.5782581862810438,0.5608744550568887,0.4385343181481403,0.7173444387745598,4.103491640873121e-06
department_accounting,0.0044154424301825175,1.0044252048593023,0.8109233581180011,1.2441002988223784,0.9677421084837192
department_hr,0.3010094879636166,1.3512221618239055,1.0922390808864273,1.6716132599122029,0.0055598570511309784
department_management,-0.35887478863989225,0.6984618012287155,0.5247413739155772,0.9296939635908127,0.013909516194608094
department_marketing,0.0338456763481027,1.0344249581725018,0.8352549316402935,1.281087909279173,0.7564241478576473
department_product_mng,-0.08829423691190412,0.9154914657081922,0.7438347488798346,1.126761858123318,0.40460678833659747
department_support,0.07620250733617982,1.079181094119215,0.9319675421265585,1.2496484923143305,0.3085014048881155
department_technical,0.11035845880491978,1.116678281887336,0.9733136263938972,1.2811598968965912,0.11545482740077562
